Date,Average
2019-09,8.62068965517e-06
2019-10,5.78034682081e-05
2019-11,0.000263157894737
2019-12,0.000199710564399
2020-01,0.000142028985507
2020-02,2.86576168929e-05
2020-03,2.44604316547e-05
2020-04,1.48270181219e-05
2020-05,-3.05602716469e-05
2020-06,-8.51788756388e-06
2020-07,-7.10382513661e-05
2020-08,3.80228136882e-06
2020-09,6.79933665008e-05
2020-10,0.000405405405405
